comment_1,label_1,label_not_1,comment_2,label_2,label_not_2,comment_3,label_3,label_not_3,comment_4,label_4,label_not_4,comment_5,label_5,label_not_5,comment_t_1,label_t_1,label_not_t_1,truth_t_1,comment_t_2,label_t_2,label_not_t_2,truth_t_2,comment_t_3,label_t_3,label_not_t_3,truth_t_3
"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"She is unattractive both inside and out. I fully understand why her former husband left her for a man.",Inappropriate,Appropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,"It ain't right unless it's White.",Appropriate,Inappropriate,"#Antifa: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable.",Inappropriate,Appropriate,"#Antifa: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable.",Appropriate,Inappropriate,Appropriate,"St. Patty's day weekend is like Christmas for black dudes who like white chicks. Happy holidays boys.",Inappropriate,Appropriate,Appropriate,"Great image of the Jew as a poisonous mushroom.",Appropriate,Inappropriate,Inappropriate
"Racist a**hole",Appropriate,Inappropriate,"Fifteen years on and they still blame white rule.",Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Appropriate,Inappropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Inappropriate,Appropriate,Inappropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,Inappropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,Inappropriate
"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"Racist a**hole",Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"Let mother nature evolve these people naturally because no amount of money or aid is going to drag these 'things' into the civilized world where they serve absolutely no purpose.",Appropriate,Inappropriate,"Let mother nature evolve these people naturally because no amount of money or aid is going to drag these 'things' into the civilized world where they serve absolutely no purpose.",Inappropriate,Appropriate,Inappropriate,"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Inappropriate,Appropriate,Inappropriate,"I hate to sound sexist, but women shouldn't talk sports on tv. They were not made for these types of jobs.",Inappropriate,Appropriate,Inappropriate
"It ain't right unless it's White.",Appropriate,Inappropriate,"Their gods often had pale skin and blue eyes but I suppose literacy isn't valued highly by their cultural intelligencia.",Appropriate,Inappropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"Women and cows deserve the same respect in this country!",Appropriate,Inappropriate,"Women and cows deserve the same respect in this country!",Inappropriate,Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,Appropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Inappropriate,Appropriate,Appropriate
"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people.",Inappropriate,Appropriate,"Women and cows deserve the same respect in this country!",Appropriate,Inappropriate,"She is unattractive both inside and out. I fully understand why her former husband left her for a man.",Inappropriate,Appropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Inappropriate,Appropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Appropriate,Inappropriate,Inappropriate,"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Inappropriate,Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,Appropriate
"Their gods often had pale skin and blue eyes but I suppose literacy isn't valued highly by their cultural intelligencia.",Appropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"It appears that if you are white in South Africa and you are about to be arrested, your fate is far worse than death.",Inappropriate,Appropriate,"Yep I totally agree, the minute the Jew press see's the Klan outfits, that's all they will talk about, and justify the white murders.",Appropriate,Inappropriate,"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Appropriate,Inappropriate,Appropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Inappropriate,Appropriate,Appropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,Appropriate
"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"Women and cows deserve the same respect in this country!",Appropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"Yep I totally agree, the minute the Jew press see's the Klan outfits, that's all they will talk about, and justify the white murders.",Appropriate,Inappropriate,"Yep I totally agree, the minute the Jew press see's the Klan outfits, that's all they will talk about, and justify the white murders.",Inappropriate,Appropriate,Inappropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Appropriate,Inappropriate,Inappropriate,"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Inappropriate,Appropriate,Appropriate
"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"As the saying goes, you can take the ape out of the jungle, but you can't take the jungle out of the ape.",Appropriate,Inappropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Inappropriate,Appropriate,Inappropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,Inappropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,Appropriate
"Women and cows deserve the same respect in this country!",Appropriate,Inappropriate,"I'm reporting here that I haven't seen or heard anything on talk radio or TV that even hints at Jewish supremacist ethnic cleansing of Whites from USA or Europe.",Appropriate,Inappropriate,"It appears that if you are white in South Africa and you are about to be arrested, your fate is far worse than death.",Inappropriate,Appropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Inappropriate,Appropriate,"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Appropriate,Inappropriate,Appropriate,"As the saying goes, you can take the ape out of the jungle, but you can't take the jungle out of the ape.",Appropriate,Inappropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,Inappropriate
"If I had a wife I’d beat the hell out of her tonight lol, jk.",Inappropriate,Appropriate,"It ain't right unless it's White.",Appropriate,Inappropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"Section 377 needs to be followed. It enforces the law and the constitution! We cannot let these criminals run free. Capture them and keep them in a jail cell. That's where those animals belong.",Appropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Appropriate,Inappropriate,Appropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Appropriate,Inappropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,Appropriate
"As the saying goes, you can take the ape out of the jungle, but you can't take the jungle out of the ape.",Appropriate,Inappropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Inappropriate,Appropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Appropriate,Inappropriate,Appropriate,"She is unattractive both inside and out. I fully understand why her former husband left her for a man.",Inappropriate,Appropriate,Appropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,Inappropriate
"It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people.",Inappropriate,Appropriate,"Great image of the Jew as a poisonous mushroom.",Appropriate,Inappropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"I like to listen to this preacher, but why do black preachers always have to scream.",Inappropriate,Appropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Inappropriate,Appropriate,Inappropriate,"Yep I totally agree, the minute the Jew press see's the Klan outfits, that's all they will talk about, and justify the white murders.",Appropriate,Inappropriate,Inappropriate,"Section 377 needs to be followed. It enforces the law and the constitution! We cannot let these criminals run free. Capture them and keep them in a jail cell. That's where those animals belong.",Appropriate,Inappropriate,Inappropriate
"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Appropriate,Inappropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices.",Appropriate,Inappropriate,Appropriate,"I'm reporting here that I haven't seen or heard anything on talk radio or TV that even hints at Jewish supremacist ethnic cleansing of Whites from USA or Europe.",Appropriate,Inappropriate,Inappropriate,"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Inappropriate,Appropriate,Appropriate
"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Inappropriate,Appropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"It appears that if you are white in South Africa and you are about to be arrested, your fate is far worse than death.",Inappropriate,Appropriate,"Yep I totally agree, the minute the Jew press see's the Klan outfits, that's all they will talk about, and justify the white murders.",Appropriate,Inappropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Inappropriate,Appropriate,Inappropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Appropriate,Inappropriate,Inappropriate,"I hate to sound sexist, but women shouldn't talk sports on tv. They were not made for these types of jobs.",Inappropriate,Appropriate,Inappropriate
"Section 377 needs to be followed. It enforces the law and the constitution! We cannot let these criminals run free. Capture them and keep them in a jail cell. That's where those animals belong.",Appropriate,Inappropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Appropriate,Inappropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices.",Appropriate,Inappropriate,Appropriate,"They're trying to turn the Internet into a mirror version of television, in other words turn it into a wasteland of celebrity worship and wipe out all of it's potential as a medium for informing and educating.",Inappropriate,Appropriate,Appropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Inappropriate,Appropriate,Appropriate
"#Antifa: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable.",Inappropriate,Appropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"She is unattractive both inside and out. I fully understand why her former husband left her for a man.",Inappropriate,Appropriate,"Let mother nature evolve these people naturally because no amount of money or aid is going to drag these 'things' into the civilized world where they serve absolutely no purpose.",Appropriate,Inappropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Inappropriate,Appropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Appropriate,Inappropriate,Appropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,Appropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Inappropriate,Appropriate,Inappropriate
"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Inappropriate,Appropriate,"They're trying to turn the Internet into a mirror version of television, in other words turn it into a wasteland of celebrity worship and wipe out all of it's potential as a medium for informing and educating.",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people.",Inappropriate,Appropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Appropriate,Inappropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Inappropriate,Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,Appropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,Appropriate
"Section 377 needs to be followed. It enforces the law and the constitution! We cannot let these criminals run free. Capture them and keep them in a jail cell. That's where those animals belong.",Appropriate,Inappropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"I like to listen to this preacher, but why do black preachers always have to scream.",Inappropriate,Appropriate,"I like to listen to this preacher, but why do black preachers always have to scream.",Appropriate,Inappropriate,Appropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Appropriate,Inappropriate,Inappropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,Inappropriate
"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"Let mother nature evolve these people naturally because no amount of money or aid is going to drag these 'things' into the civilized world where they serve absolutely no purpose.",Appropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"#Antifa: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable.",Inappropriate,Appropriate,"Great image of the Jew as a poisonous mushroom.",Appropriate,Inappropriate,"Great image of the Jew as a poisonous mushroom.",Inappropriate,Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,Appropriate,"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Inappropriate,Appropriate,Inappropriate
"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Inappropriate,Appropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,"Yep I totally agree, the minute the Jew press see's the Klan outfits, that's all they will talk about, and justify the white murders.",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Inappropriate,Appropriate,Inappropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,Appropriate
"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"Racist a**hole",Appropriate,Inappropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Inappropriate,Appropriate,"I'm reporting here that I haven't seen or heard anything on talk radio or TV that even hints at Jewish supremacist ethnic cleansing of Whites from USA or Europe.",Appropriate,Inappropriate,"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"a cop is armed to protect himself!!!!!",Appropriate,Inappropriate,Appropriate,"It appears that if you are white in South Africa and you are about to be arrested, your fate is far worse than death.",Inappropriate,Appropriate,Appropriate,"It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people.",Inappropriate,Appropriate,Appropriate
"Great image of the Jew as a poisonous mushroom.",Appropriate,Inappropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"I like to listen to this preacher, but why do black preachers always have to scream.",Inappropriate,Appropriate,"Let mother nature evolve these people naturally because no amount of money or aid is going to drag these 'things' into the civilized world where they serve absolutely no purpose.",Appropriate,Inappropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Appropriate,Inappropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Inappropriate,Appropriate,Inappropriate,"She is unattractive both inside and out. I fully understand why her former husband left her for a man.",Inappropriate,Appropriate,Appropriate,"Fifteen years on and they still blame white rule.",Appropriate,Inappropriate,Inappropriate
"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"I think it’s time stupid Liberals move out of the 1950s and stop calling people black. Let’s be Americans instead.",Inappropriate,Appropriate,"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Inappropriate,Appropriate,"They're trying to turn the Internet into a mirror version of television, in other words turn it into a wasteland of celebrity worship and wipe out all of it's potential as a medium for informing and educating.",Inappropriate,Appropriate,"They're trying to turn the Internet into a mirror version of television, in other words turn it into a wasteland of celebrity worship and wipe out all of it's potential as a medium for informing and educating.",Appropriate,Inappropriate,Appropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Appropriate,Inappropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,Appropriate
"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"Great image of the Jew as a poisonous mushroom.",Appropriate,Inappropriate,"Their gods often had pale skin and blue eyes but I suppose literacy isn't valued highly by their cultural intelligencia.",Appropriate,Inappropriate,"I think it’s time stupid Liberals move out of the 1950s and stop calling people black. Let’s be Americans instead.",Inappropriate,Appropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Inappropriate,Appropriate,Inappropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,Inappropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Inappropriate,Appropriate,Inappropriate
"#Antifa: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable.",Inappropriate,Appropriate,"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Inappropriate,Appropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"I hate to sound sexist, but women shouldn't talk sports on tv. They were not made for these types of jobs.",Inappropriate,Appropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Inappropriate,Appropriate,Inappropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Inappropriate,Appropriate,Appropriate,"It appears that if you are white in South Africa and you are about to be arrested, your fate is far worse than death.",Inappropriate,Appropriate,Appropriate
"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,"#Antifa: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable.",Inappropriate,Appropriate,"Women and cows deserve the same respect in this country!",Appropriate,Inappropriate,"As the saying goes, you can take the ape out of the jungle, but you can't take the jungle out of the ape.",Appropriate,Inappropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Inappropriate,Appropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Appropriate,Inappropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,Inappropriate,"Let mother nature evolve these people naturally because no amount of money or aid is going to drag these 'things' into the civilized world where they serve absolutely no purpose.",Appropriate,Inappropriate,Inappropriate
"Women and cows deserve the same respect in this country!",Appropriate,Inappropriate,"I hate to sound sexist, but women shouldn't talk sports on tv. They were not made for these types of jobs.",Inappropriate,Appropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"I like to listen to this preacher, but why do black preachers always have to scream.",Inappropriate,Appropriate,"When a woman says no, respect the answer but don't give up unless she says 'never'. If she says 'never' with a smirk, you still have a chance.",Appropriate,Inappropriate,"When a woman says no, respect the answer but don't give up unless she says 'never'. If she says 'never' with a smirk, you still have a chance.",Inappropriate,Appropriate,Inappropriate,"Fifteen years on and they still blame white rule.",Appropriate,Inappropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,Appropriate
"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"I think it’s time stupid Liberals move out of the 1950s and stop calling people black. Let’s be Americans instead.",Inappropriate,Appropriate,"#Antifa: Take note of how to protest with civility. This is why socialism (aka communism) will never win. It is inherently evil and unsustainable.",Inappropriate,Appropriate,"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Appropriate,Inappropriate,Appropriate,"You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck",Appropriate,Inappropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,Appropriate
"I think it’s time stupid Liberals move out of the 1950s and stop calling people black. Let’s be Americans instead.",Inappropriate,Appropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"I hate to sound sexist, but women shouldn't talk sports on tv. They were not made for these types of jobs.",Inappropriate,Appropriate,"I'm reporting here that I haven't seen or heard anything on talk radio or TV that even hints at Jewish supremacist ethnic cleansing of Whites from USA or Europe.",Appropriate,Inappropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Appropriate,Inappropriate,Appropriate,"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Inappropriate,Appropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,Appropriate
"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"Their gods often had pale skin and blue eyes but I suppose literacy isn't valued highly by their cultural intelligencia.",Appropriate,Inappropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Inappropriate,Appropriate,Inappropriate,"Section 377 needs to be followed. It enforces the law and the constitution! We cannot let these criminals run free. Capture them and keep them in a jail cell. That's where those animals belong.",Appropriate,Inappropriate,Inappropriate,"I like to listen to this preacher, but why do black preachers always have to scream.",Inappropriate,Appropriate,Appropriate
